23,69.97,67.75,36.2,93.1,85.2,94.5,59,37.3,21.9,32,27.4,17.1
22,78.58,72.25,38.5,93.6,83,98.7,58.7,37.3,23.4,30.5,28.9,18.2
22,69.85,66.25,34,95.8,87.9,99.2,59.6,38.9,24,28.8,25.2,16.6
26,83.8,72.25,37.4,101.8,86.4,101.2,60.1,37.3,22.8,32.4,29.4,18.2
24,83.57,71.25,34.4,97.3,100,101.9,63.2,42.2,24,32.2,27.7,17.7
24,95.37,74.75,39,104.5,94.4,107.8,66,42,25.6,35.7,30.6,18.8
26,82.1,69.75,36.4,105.1,90.7,100.3,58.4,38.3,22.9,31.9,27.8,17.7
25,79.83,72.5,37.8,99.6,88.5,97.1,60,39.4,23.2,30.5,29,18.8
25,86.64,74,38.1,100.9,82.5,99.9,62.9,38.3,23.8,35.9,31.1,18.2
23,89.92,73.5,42.1,99.6,88.6,104.1,63.1,41.7,25,35.6,30,19.2
26,84.48,74.5,38.5,101.5,83.6,98.2,59.7,39.7,25.2,32.8,29.4,18.5
27,97.98,76,39.4,103.6,90.9,107.7,66.2,39.2,25.9,37.2,30.2,19
32,81.87,69.5,38.4,102,91.6,103.9,63.4,38.3,21.5,32.5,28.6,17.7
30,93.1,71.25,39.4,104.1,101.8,108.6,66,41.5,23.7,36.9,31.6,18.8
35,85.16,69.5,40.5,101.3,96.4,100.1,69,39,23.1,36.1,30.5,18.2
35,73.82,66,36.4,99.1,92.8,99.2,63.1,38.7,21.7,31.1,26.4,16.9
34,88.79,71,38.9,101.9,96.4,105.2,64.8,40.8,23.1,36.2,30.8,17.3
32,94.91,71,42.1,107.6,97.5,107,66.9,40,24.4,38.2,31.6,19.3
28,83.35,67.75,38,106.8,89.6,102.4,64.2,38.7,22.9,37.2,30.5,18.5
33,96.05,73.5,40,106.2,100.5,109,65.8,40.6,24,37.1,30.1,18.2
28,81.19,68,39.1,103.3,95.9,104.9,63.5,38,22.1,32.5,30.3,18.4
28,90.95,69.75,41.3,111.4,98.8,104.8,63.4,40.6,24.6,33,32.8,19.9
31,63.62,68.25,33.9,86,76.4,94.6,57.4,35.3,22.2,27.9,25.9,16.7
32,67.47,70,35.5,86.7,80,93.4,54.9,36.2,22.1,29.8,26.7,17.1
